2026-09-24 23:59:27.317 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87FEB addr=00A87FEB npar=2 p0=00000000 p1=00000764 eax=00000040 ebx=00000009 ecx=00000000 edx=000000EC esi=3E21AEE8 edi=525BE97C ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.318 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.318 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5E40 ecx=0000007B edx=00000000 esi=00000001 edi=00000063 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.319 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6218 ecx=0000007B edx=00000000 esi=00000001 edi=00000063 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.320 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=0000014B eax=3BD91544 ebx=30DB5548 ecx=0000001F edx=00000000 esi=00000001 edi=00000007 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.321 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.322 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB5CF8 ecx=0000007B edx=00000000 esi=00000001 edi=00000063 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.323 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000151 eax=3BD91544 ebx=2F2DBD28 ecx=00000025 edx=00000000 esi=00000001 edi=0000000D ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.323 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DC768 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.324 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=EBE5E843 eax=3BD91544 ebx=30DB7030 ecx=EBE5E717 edx=00000000 esi=00000001 edi=EBE5E6FF ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.325 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=000001A7 eax=3BD91544 ebx=30DB6EE8 ecx=0000007B edx=00000000 esi=00000001 edi=00000063 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.326 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DD958 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
2026-09-24 23:59:27.326 dll=4.14 via=veh pid=21008 tid=19496 code=C0000005 eip=00A87F94 addr=00A87F94 npar=2 p0=00000000 p1=00000149 eax=3BD91544 ebx=2F2DBBE0 ecx=0000001D edx=00000000 esi=00000001 edi=00000005 ebp=019BD84C esp=019BD804
